name,id,citation,h_index,i10_index,total_publication,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Ormond MacDougald,uQKPOLkAAAAJ,42416,77,152,248,822,2985,3250,2987,3183,2991,3069,3081,2664,2689,2252,1729,1519,1452,1241,1127,878
David Blaauw,P3JdmqAAAAAJ,41941,100,510,927,603,2401,2631,2630,2766,2605,2963,2678,2554,2366,2240,2193,2173,1954,1657,1589,1504
Diane M Harper,PBdVSiYAAAAJ,41896,76,158,380,480,1854,2101,1932,1996,2090,2015,1893,1917,1992,2062,2129,2283,2254,2644,2821,2623
Heather Stringham,wCvT4tMAAAAJ,41414,46,52,56,461,1693,1990,2087,2401,2782,3127,3241,3606,3756,3706,3615,2988,2136,1425,835,333
Cliff Lampe,aT8oqcoAAAAJ,41146,56,104,184,522,2551,2868,3137,3157,3608,3882,4256,3965,3497,2623,2259,1635,1135,655,382,139
Dr. Alexey Varganov,D_MJqFIAAAAJ,41209,111,365,721,177,739,782,822,1003,1474,1568,2041,2581,2952,4624,5335,4486,3421,3013,2199,1538
Harry Mobley,8xCZwrIAAAAJ,40589,98,277,424,644,2577,2609,2463,2414,2359,2516,2335,2138,1925,1905,1644,1453,1468,1251,1167,1020
Kenneth Langa,-eu6WfoAAAAJ,40407,98,248,589,1409,4517,4485,4157,3783,3270,3060,2715,2656,2140,1724,1546,1204,830,612,458,339
Annemarie Sullivan Palincsar,7PFjNG0AAAAJ,40064,64,142,267,335,1478,1607,1713,1761,1760,1801,1701,1638,1732,1867,1739,1341,1388,1337,1288,1182
Jeremy Taylor,8uZodNYAAAAJ,40006,96,339,630,504,1784,1915,1683,1810,1796,1789,1823,1839,1824,1757,1823,1664,1691,1536,1476,1352
